source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,review_group,decision,reason
/books/OL35334213M,De zaak-Saint-Fiacre,,Georges Simenon,1,9789085426127,2015,De Bezige Bij,Fiction | Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL16415957M,Het bloedspoor in de sneeuw,,Georges Simenon,1,9789022905463,1978,A.W.Bruna & Zoon,Fiction | Histoire | Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL39797604M,Het huis aan het kanaal,,Georges Simenon,1,9789057201660,2002,BMP Literair,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35334004M,Maigret en de minister,,Georges Simenon,1,9789025422400,2003,Pandora,Fiction | Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL37792043M,Maigret en het spook,,Georges Simenon,1,9789025419929,2003,Pandora,Fiction | Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL25571816M,Maigret in Holland,,Georges Simenon,1,,1962,Bruna,Fiction | Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL47675651M,Pietr-le-Letton,,Georges Simenon,1,,1964,A W Bruna en zoon,Fiction | Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35338079M,Schele Marie,,Georges Simenon,1,9789025417598,2003,Pandora,Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL16415983M,Tante Jeanne.,,Georges Simenon,1,,1961,A.W.Bruna & Zoon,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL16359535M,Allemaal leugens,,Geraldine McCaughrean,1,9789038403465,1995,La Rivière & Voorhoeve,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL16360250M,De mirakel spelers,,Geraldine McCaughrean,1,9789070661342,1987,W.J.Wildeboer,Biographie,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35345632M,Liefdesverhalen uit alle windstreken,,Geraldine McCaughrean,1,9789062387298,2000,Christofoor,,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL16360286M,Phelim en het steengebroed,,Geraldine McCaughrean,1,9789025732493,2000,Gottmer,Fantasy,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL16569670M,De derde man =,The third man,Graham Greene,1,,1980,Uitgeverij Bert Bakker,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35339938M,De privé factor,,Graham Greene,1,9789047507161,2008,Crimezone.nl,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL16569607M,De stille Amerikaan = The quiet American,,Graham Greene,1,9789025463083,1978,Uitgeverij Bert Bakker,Fiction | Politique,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL16569403M,Een soort leven = A sort of life,,Graham Greene,1,,1982,Uitgeverij de Arbeiderspers,Biographie,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL32851433M,Genezen verklaard,,Graham Greene,1,9789025462680,1973,Uitgeverij Contact,Fiction | Religion,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL13900202M,Kind van Albion,,Graham Greene,1,,1952,N.V.de Arbeiderspers,Fiction | Thriller,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL16569395M,Monseigneur Quichot,,Graham Greene,1,9789060199206,1982,Prometheus,Fiction | Histoire,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL32344688M,Onze man in Havana,,Graham Greene,1,9789025407032,2002,Pandora,Fiction | Histoire,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL21376719M,Stamboel expres,,Graham Greene,1,9789060195192,1978,Uitgeverij Bert Bakker,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL16569655M,Vluchtwegen =,Ways of escape,Graham Greene,1,,1982,Uitgeverij de Arbeiderspers,Biographie | Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL16569044M,"Dr. Fischer van Genève, of Het knalfeest = Doctor Fischer of Geneva",,Graham Greene | Josep Alemany Castells,2,,1908,Uitgeverij Bert Bakker,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL32346851M,De onschuldigen,,Harlan Coben,1,9789022541906,2005,Boekerij,Fiction | Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL32830355M,Gevonden,,Harlan Coben,1,9789022566411,2015,Boekerij,Fiction | Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35335270M,Vermist,,Harlan Coben,1,9789022557211,2011,Boekerij,Fiction | Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL45743274M,Zes jaar,,Harlan Coben,1,9789022559109,2013,Boekerij,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL25439109M,Heren van de thee,,Hella S. Haasse,1,9789021464831,2002,Querido,Fiction,0,DOMINANT_AUTHORS,KEEP_CORE,Socle néerlandophone validé lors de la revue éditoriale NL.
/books/OL4335699M,Mevrouw Bentinck of Onverenigbaarheid van karakter,een ware geschiedenis,Hella S. Haasse,1,9789021465012,1978,Querido,Fiction,0,DOMINANT_AUTHORS,KEEP_CORE,Socle néerlandophone validé lors de la revue éditoriale NL.
/books/OL3756232M,Sleuteloog,,Hella S. Haasse,1,9789021466842,2003,Querido,,0,DOMINANT_AUTHORS,KEEP_CORE,Socle néerlandophone validé lors de la revue éditoriale NL.
