source_key,work_key,cover_id,cover_file,title,subtitle,language,isbn,publication_year,publisher,page_count,summary,cover_image_url,cover_width,cover_height,cover_bytes
/books/OL3667325M,/works/OL1000257W,292914,ol-cover-292914.jpg,The Ivory Dragon,,EN,9780451205353,2002,Signet,,,,289,475,29876
/books/OL7573408M,/works/OL1000258W,4636103,ol-cover-4636103.jpg,Julia's Spirit,,EN,9780451177353,1993,Signet,,,,128,214,7546
/books/OL7572704M,/works/OL1000259W,1346226,ol-cover-1346226.jpg,Lady Sara's Scheme,,EN,9780451160027,1989,Signet,,"Lady Sara Harland was as sensible as she was beautiful. Since she had to have a husband, she decided to take her pick from a list of the choicest lords available. One name, however, she crossed off her list. Why should she even consider Myles Fenwick, the Earl of St. Quinton, when so many other eligible lords were much less insufferably arrogant and shockingly libertine? Sara was sure she would have no trouble snaring a perfect mate while herself avoiding the infamous charm and insidious attractiveness of the infuriating earl. But though this level-headed young heiress had her mind made up, her heart had ideas of its own.",,331,500,31263
/books/OL7573754M,/works/OL1000261W,292027,ol-cover-292027.jpg,Lord Barry's Dream House,,EN,9780451186744,1996,Signet,,"Lady Juliana Hamilton admired her late aristocratic father’s abilities as an architect, and she was determined to follow in his footsteps. Completing his unfinished manor for Lord Barry would solidify his reputation and give her a chance for recognition. Unfortunately, Lord Barry was appalled by the idea of a female completing his building, but he did have designs on Lady Juliana…",,287,475,37608
/books/OL3666194M,/works/OL1000264W,292816,ol-cover-292816.jpg,Lord Huntingdon's Legacy,,EN,9780451204028,2001,Signet Book,,,,306,476,40353
/books/OL3284918M,/works/OL1000265W,8296865,ol-cover-8296865.jpg,Lord Nick's Folly,,EN,9780451206961,2002,Signet,,"An Unlikely Pair When Nympha Herbert embarks on a journey to visit her wealthy great-aunt, she expects nothing more than a staid, dreary trip. But then a surprising twist of fate has her sharing a coach with Lord Nicholas--decidedly the most aggravating man in all of England. Only suddenly he seems far less irritating and infinitely more dashing than she remembered.... Lord Nick has been far too busy with what is widely considered his folly--constructing a golf course on his property--to get himself a bride. Besides, with his brother about to produce a successor, the burden of being the heir presumptive is off his shoulders. But when he finds himself traveling to Mansfield with the rector's lovely daughter, he decides it's his duty to save her from a gold-digging suitor--and to convince her that his protection is required for her life's happiness..",,311,500,67635
/books/OL7573954M,/works/OL1000266W,292201,ol-cover-292201.jpg,Lord Ware's Widow,,EN,9780451192073,1997,Signet,,,,283,475,38080
/books/OL3471987M,/works/OL1000267W,293473,ol-cover-293473.jpg,The Madcap Heiress,,EN,9780451212894,2004,Signet,,,,307,500,36083
/books/OL7573465M,/works/OL1000268W,8263372,ol-cover-8263372.jpg,Miss Chesney's Charade,,EN,9780451179234,1994,Signet,,,,152,256,25924
/books/OL7574178M,/works/OL1000270W,292461,ol-cover-292461.jpg,Miss Haycroft's Suitors,,EN,9780451198341,1999,Signet,,"Like a knight of old, when Justin Fairfax, the elegant Earl of Rochford discovers the dilemma facing lovely Anne Haycroft, he comes to her rescue. Her despicable uncle is determined to wed her to a nasty peer in order to settle gaming debts. The earl places her with his aunt, then creates fictitious suitors to thwart her uncle…",,293,475,36380
/books/OL7574110M,/works/OL1000271W,292371,ol-cover-292371.jpg,Miss Timothy Perseveres,,EN,9780451196767,1999,Signet,,,,285,475,41732
/books/OL7573004M,/works/OL1000272W,13297249,ol-cover-13297249.jpg,Miss Wyndham's Escapade,,EN,9780451167156,1990,Signet,,,,302,500,56924
/books/OL3474620M,/works/OL1000273W,293608,ol-cover-293608.jpg,My Lady Faire,,EN,9780451214584,2005,Signet,,,,300,500,27528
/books/OL24965955M,/works/OL1000275W,292603,ol-cover-292603.jpg,A Perilous Engagement,,EN,9780708946794,2002,Ulverscroft,,"After the untimely demise of his reckless cousin, Jordan Robards inherits a barony, his brother's bereft fiancee, and the terrible suspicion that his cousin's death was not an accident at all....",,289,475,30281
/books/OL3284266M,/works/OL1000276W,293107,ol-cover-293107.jpg,Pursuing Priscilla,,EN,9780451208033,2003,Signet,,"Lord Latimer has a bevy of disgraceful relatives ready to exhibit their scandalous behavior for all the ton to see. So he’s determined to wed only a proper miss, and believes he has found just the right one in Priscilla Herbert. Priscilla has her own agenda, which doesn’t always seem so proper after all…",,292,500,34821
/books/OL32136190M,/works/OL1000277W,1346229,ol-cover-1346229.jpg,Queen of the May,,EN,9781847822505,2008,Ulverscroft,,"""Young Lady Samantha Mayne had no desire to be a proper young lady. Let her cousin Emma dress in fashionable gowns, attend glittering balls, and hunt a mate in the marriage mart. Samantha preferred to aid her brother George's scientific experiments, wear breeches, ride horses astride, not side saddle and be most wary of wedlock. Then Samantha met Lord Charles Laverstock. Lord Charles was more handsome, charming and gallant than Samantha had ever imagined a man could be. Lord Charles also clearly could never be interested in a girl who broke every rule and scorned every feminine wile. For free-spirited Samantha, becoming a lady would be the hardest of possible tasks ... even if it was a labour of love.""--BOOK COVER.",,332,500,34563
/books/OL3668502M,/works/OL1000279W,292732,ol-cover-292732.jpg,The Rake's Revenge,,EN,9780451202598,2001,Signet,,"Charming Regina Hawthorne had thought Lord Torrington was planning to offer for her--when he suddenly became engaged to another. Rakish Lord St. Aubyn sympathized with ""Rejected Regina's"" situation and solicited her assistance with a family problem, while distracting the gossips from maligning the lovely young woman.",,298,475,32928
/books/OL7574690M,/works/OL1000280W,293712,ol-cover-293712.jpg,The Rake and the Redhead / Lord Dancy's Delight,,EN,9780451215871,2005,Signet,,,,291,500,27592
/books/OL7573441M,/works/OL1000281W,291780,ol-cover-291780.jpg,The Rake and the Redhead,,EN,9780451178558,1994,Signet,,,,276,475,39394
/books/OL7573124M,/works/OL1000282W,4636254,ol-cover-4636254.jpg,A Scandalous Suggestion,,EN,9780451169921,1991,Signet,,"Sybil Eagleton’s London Season has an unfortunate start. Then she is befriended by Robert Medland, son of her stepmama’s best friend, and things start looking up. When the handsome Viscount Buckingham pays court to her, she must decide if her affections can be given to this haughty perfectionist, or if they have already been captured by a treasured soul mate.",,128,218,3586
/books/OL7573471M,/works/OL1000283W,291795,ol-cover-291795.jpg,The Scoundrel's Bride,,EN,9780451179357,1994,Signet,,,,284,475,38414
/books/OL3386539M,/works/OL1000284W,293382,ol-cover-293382.jpg,Tabitha's Tangle,,EN,9780451211644,2004,Signet,,"Prim and proper,Tabitha Herbert seems to everything one would expect in a rector's daughter, but her passionate thirst for knowledge and adventure belies her appearance. So when she's asked to catalogue a collection of books for a dashing baron, she feels as if she's turned the pages of the first romantic chapter in her life. Hugh, Lord Latham, has resigned himself to entering marriage with an earl's daughter, despite his lack of affection for her. But discovering just how much he has in common with Tabitha opens his mind and heart to the possibility that falling in love can actually be a novel idea...",,299,500,30671
/books/OL141062M,/works/OL1000285W,292309,ol-cover-292309.jpg,The Unexpected Wife,,EN,9780451194985,1998,Signet,,"Her father gone, her estate for the taking, Juliet Winterton was facing an arranged marriage to a drunken gambler. So she ran away - to a charming home on the country estate of Alexander Barr, Viscount Hawkswood, the most notorious rake in London. Juliet would simply pretend to be his wife while he was away.",,295,475,45139
/books/OL39797838M,/works/OL1000286W,8146247,ol-cover-8146247.jpg,The Wicked Proposal,,EN,9780709082606,2008,Robert Hale,,"The Husband Hunt Lady Penelope Winthrop knew exactly what she wanted in a husband. The fair-haired beauty did not seek a mate who was wildly attractive or sinfully rich. All she wanted was a man who would go with her to the altar and afterward leave her completely alone. Penelope had the wealth to purchase such a perfect partner. And she had the most sophisticated lord in London, the Earl of Harford, to help her with her shopping spree in the marriage mart. With the exquisitely elegant, extraordinarily handsome, and totally cynical Harford as her guide, how could she go wrong... unless she found herself not only in his hands but in his arms....",,276,500,24948
/books/OL35446064M,/works/OL1000287W,2551631,ol-cover-2551631.jpg,Hidden Inheritance,,EN,9781846178580,2007,Ulverscroft,,"Beguiling Vanessa Tarlton knew the risk when she accepted a position in the house of Nicholas Leighton. She could avoid the traps the infamous womanizer would set for her, but could she avoid the pitfalls of her own heart? Original Regency romance.",,325,500,31159
/books/OL141064M,/works/OL1000290W,1334087,ol-cover-1334087.jpg,House party!,,EN,9780671025939,1999,Pocket Books,,,,287,475,36355
/books/OL3664313M,/works/OL1000294W,403581,ol-cover-403581.jpg,Trippin' out,,EN,9780671011499,1997,Pocket Books,,,,299,475,37444
/books/OL2738694M,/works/OL1000298W,13467234,ol-cover-13467234.jpg,All our yesterdays,,EN,9780809581078,1986,Borgo Press,,"Discusses the characters, popularity, and individual episodes of the well-known television series.",,333,500,18590
/books/OL7911442M,/works/OL1000302W,466790,ol-cover-466790.jpg,Book Of Earth (Diadem Worlds of Magic),,EN,9780738706139,2005,Llewellyn Publications,,173 p. ; 19 cm,,338,500,44538
/books/OL3304229M,/works/OL1000303W,466787,ol-cover-466787.jpg,Book of magic,,EN,9780738706153,2004,Llewellyn,,"Armed with their own magic and a unicorn's horn that can repel the magic of others, Score, Pixel, and Renald finally come face-to-face with the evil Sarman who needs to kill them in order to become supreme ruler of the Diadem universe.",,327,500,34786
/books/OL3301692M,/works/OL1000304W,466791,ol-cover-466791.jpg,Book of Names,,EN,9780738706177,2004,Llewellyn,,"Score, Renald, and Pixel are snatched from different worlds and taken by Bestials to the planet Treen, where they are to be offered as a sacrifice.",,339,500,39265
/books/OL7911441M,/works/OL1000305W,466789,ol-cover-466789.jpg,"Book Of Nightmares (Diadem, Worlds of Magic)",,EN,9780738706122,2005,Llewellyn Publications,,,,338,500,44538
/books/OL3423157M,/works/OL1000306W,466833,ol-cover-466833.jpg,Book of Oceans,,EN,9780738707488,2005,Llewellyn,,"When Oracle suggests a comforting vacation through a portal to a world of water, he fails to mention that it is also a world inhabited by pirates.",,340,500,41912
/books/OL3422975M,/works/OL1000307W,466905,ol-cover-466905.jpg,Book of reality,,EN,9780738708430,2006,Llewellyn,,"When Pixel, Jenna, Score, and Helaine journey back to Calomir, Pixel's home planet of virtual reality to meet his parents, the four magic users find treachery, slavery, and deceit instead of the happy homecoming they were expecting.",,339,500,42199
/books/OL3301689M,/works/OL1000308W,466788,ol-cover-466788.jpg,Book of signs,,EN,9780738706160,2004,Llewellyn,,"Score, Helaine, and Pixel continue their journey in the Diadem Universe, honing their magic skills as they try to survive against goblins, trolls, lake monsters, and a shapeshifting wizard named Shanara.",,338,500,44538
/books/OL3305239M,/works/OL1000309W,466786,ol-cover-466786.jpg,Book of Thunder,,EN,9780738706146,2004,Llewellyn Publications,,"Score, Pixel, and Helaine return to Dondar to help their unicorn friends find the former leader of their herd and to fend off a dangerous wizard.",,341,500,42043
/books/OL2989932M,/works/OL100030W,376643,ol-cover-376643.jpg,Midsummer,,EN,9780571131808,1984,Faber and Faber,,,,301,475,39513
/books/OL6886744M,/works/OL1000310W,604311,ol-cover-604311.jpg,The change,,EN,9780812575699,1999,Tor Kids,,,,322,475,29790
/books/OL3281589M,/works/OL1000316W,476282,ol-cover-476282.jpg,Double disaster!,,EN,9780743417648,2002,Aladdin Paperbacks,,,,333,500,39505
/books/OL22273611M,/works/OL1000318W,9443316,ol-cover-9443316.jpg,Field trip,,EN,9780671882877,1995,Pocket Books,,,,336,500,81059
/books/OL3665844M,/works/OL1000319W,11286403,ol-cover-11286403.jpg,Star Wars: The Fight For Justice,Journal By Luke Skywalker,EN,9780590189026,1998,Scholastic,,"SKYWALKER DATA PAD ENTRY LOCATION: TATOOINE In just half a day, my whole world has changed. The farm, my aunt and uncle.... They're gone. Destroyed by the Empire. All my life I've been waiting for something to happen to me. Something important. And now that it has, I'm not sure I know how to handle it.",,347,500,60062
